title,authors,type,venue,volume,number,pages,year,month,publisher,city,doi,url,award
Early exploration of cloud computing for design practice and education,"Whiting, Mark E; Varadarajan, Soumitri",,"Internat. Assoc Societies Design Res. Coex, Seoul Korea",,,,2009,,,,,,
Boomerang: Rebounding the Consequences of Reputation Feedback on Crowdsourcing Platforms,"Gaikwad, Snehalkumar; Morina, Durim; Ginzberg, Adam; Mullings, Catherine; Goyal, Shirish; Gamage, Dilrukshi; Diemert, Christopher; Burton, Mathias; Zhou, Sharon; Whiting, Mark; Ziulkoski, Karolina; Ballav, Alpina; Gilbee, Aaron; Niranga, Senadhipathige S; Sehgal, Vibhor; Lin, Jasmine; Kristianson, Leonardy; Richmond-Fuller, Angela; Regino, Jeff; Chhibber, Nalin; Majeti, Dinesh; Sharma, Sachin; Mananova, Kamila; Dhakal, Dinesh; Dai, William; Purynova, Victoria; Sandeep, Samarth; Chandrakanthan, Varshine; Sharma, Tejas; Matin, Sekandar; Nasser, Ahmed; Nistala, Rohit; Stolzoff, Alexander; Milland, Kristy; Mathur, Vinayak; Vaish, Rajan; Bernstein, Michael S",,29th Annual Symposium on User Interface Software and Technology,,,625-637,2016,10,ACM,,10.1145/2984511.2984542,https://hci.stanford.edu/publications/2016/boomerang/boomerang-uist.pdf,
Crowd guilds: Worker-led reputation and feedback on crowdsourcing platforms,Mark E. Whiting and Dilrukshi Gamage and Snehalkumar S. Gaikwad and Aaron Gilbee and Shirish Goyal and Alipta Ballav and Dinesh Majeti and Nalin Chhibber and Angela Richmond-Fuller and Freddie Vargus and Tejas Seshadri Sarma and Varshine Chandrakanthan and Teogenes Moura and Mohamed Hashim Salih and Gabriel Bayomi Tinoco Kalejaiye and Adam Ginzberg and Catherine A. Mullings and Yoni Dayan and Kristy Milland and Henrique Orefice and Jeff Regino and Sayna Parsi and Kunz Mainali and Vibhor Sehgal and Sekandar Matin and Akshansh Sinha and Rajan Vaish and Michael S. Bernstein,,Proceedings of the ACM Conference on Computer Supported Cooperative Work and Social Computing,,,1902-1913,2017,,ACM,,10.1145/2998181.2998234,https://hci.stanford.edu/publications/2017/crowdguilds/guilds.pdf,
"A formal approach for the interpretation of cultural content(s): Evolution of a Korean traditional pattern, Bosangwhamun","Lee, Ji-Hyun; Park, Hyoung-June; Lim, Sungwoo; Kim, Sun-Joong; Jung, Haelee; Whiting, Mark E",,"15th International Conference on Computer-Aided Architectural Design in Asia, CAADRIA",,,19-28,2010,,Association for Research in Computer-Aided Architectural Research in Asia (CAADRIA),Hong Kong,,http://cumincad.scix.net/data/works/att/caadria2010_002.content.pdf,
Automated Induction of General Grammars for Design,"Whiting, Mark E; Cagan, Jonathan; LeDuc, Philip",,Design Computing and Cognition,,,267-278,2017,,Springer,,10.1007/978-3-319-44989-0_15,,
The daemo crowdsourcing marketplace,"Gaikwad, Snehalkumar (Neil) S; Whiting, Mark E; Gamage, Dilrukshi; Mullings, Catherine A; Majeti, Dinesh; Goyal, Shirish; Gilbee, Aaron; Chhibber, Nalin; Ginzberg, Adam; Richmond-Fuller, Angela",Poster,Companion of the ACM conference on computer supported cooperative work and social computing,,,1-4,2017,,,,10.1145/3022198.3023270,,
Designing A Constitution for a Self-Governing Crowdsourcing Marketplace,"Whiting, Mark E; Gamage, Dilrukshi; Goyal, Shirish; Gilbee, Aaron; Majeti, Dinesh; Richmond-Fuller, Angela; Salih, Mohamed Hashim; Sarma, Tejas Seshadri; Mathur, Vinayak; Pandey, Manoj; Gaikwad, Snehalkumar; Vaish, Rajan; Bernstein, Michael S",Conference,"Collective Intelligence Conference, Brooklyn, NY, USA",,,15-16,2017,,,,,,
Improving assessment on MOOCs through peer identification and aligned incentives,"Gamage, Dilrukshi; Whiting, Mark E; Rajapakshe, Thejan; Thilakarathne, Haritha; Perera, Indika; Fernando, Shantha",inproceedings,Proceedings of the Fourth ACM Conference on Learning@ Scale,,,315-318,2017,,,,10.1145/3051457.3054013,,
Efficient Automatic Induction of Rules in Biological Systems,"Whiting, Mark E; Leduc, Phil R; Cagan, Jon",,The FASEB Journal,31,,927.5-927.5,2017,,The Federation of American Societies for Experimental Biology,,,,
"Prototype tasks: improving crowdsourcing results through rapid, iterative task design","Gaikwad, Snehalkumar; Chhibber, Nalin; Sehgal, Vibhor; Ballav, Alipta; Mullings, Catherine; Nasser, Ahmed; Richmond-Fuller, Angela; Gilbee, Aaron; Gamage, Dilrukshi; Whiting, Mark",,arXiv preprint arXiv:1707.05645,,,,2017,,,,,,
